id,q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q5a,q6,age,gender,role,bransch,duration_in_seconds
16,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,56+,Man,Medarbetare,Vård/omsorg,338
17,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,46-55,Man,Arbetsledande med personal ansvar,Energiförsörjning,126
18,Stämmer helt,NA,NA,Stämmer helt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,30-45,Man,Arbetsledande med personal ansvar,Annan verksamhet,152
19,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,198
20,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,"Ja, i mycket stor utsträckning",NA,46-55,Kvinna,Arbetsledande utan personalansvar,Annan verksamhet,215
21,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,30-45,Man,Medarbetare,Annan verksamhet,186
22,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Kvinna,Medarbetare,Utvinning av mineral,137
23,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Man,Arbetsledande utan personalansvar,Tillverkning,447
24,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,30-45,Kvinna,Medarbetare,Bygg,251
25,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Bygg,378
26,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,56+,Kvinna,Arbetsledande utan personalansvar,Annan verksamhet,272
27,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Medarbetare,Tillverkning,311
28,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Tillverkning,290
29,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,30-45,Man,Medarbetare,Tillverkning,199
30,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,30-45,Man,Medarbetare,Annan verksamhet,186
31,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Tillverkning,270
32,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,30-45,Kvinna,Medarbetare,Annan verksamhet,166
33,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Bygg,134
34,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Bygg,174
35,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,56+,Man,Arbetsledande med personal ansvar,Bygg,145
36,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,30-45,Man,Arbetsledande utan personalansvar,Annan verksamhet,119
37,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,NA,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,179
38,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Tillverkning,134
39,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",NA,30-45,Kvinna,Medarbetare,Annan verksamhet,337
40,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,NA,Stämmer ganska väl,Stämmer ganska väl,NA,NA,30-45,Kvinna,Arbetsledande utan personalansvar,Transport,176
41,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,"Ja, i mycket stor utsträckning",NA,46-55,Kvinna,Medarbetare,"Jordbruk, skogsbruk",208
42,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Kvinna,Arbetsledande utan personalansvar,Transport,188
43,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Nej, en del viktiga saker saknas",NA,46-55,Man,Medarbetare,Annan verksamhet,249
44,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,56+,Man,Arbetsledande med personal ansvar,Annan verksamhet,233
45,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,"Nej, en del viktiga saker saknas",NA,30-45,Kvinna,Arbetsledande med personal ansvar,Energiförsörjning,283
46,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",NA,46-55,Kvinna,Medarbetare,Annan verksamhet,202
47,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",NA,46-55,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,348
48,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,"Ja, i ganska stor utsträckning",NA,30-45,Vill ej ange,Arbetsledande utan personalansvar,Bygg,340
49,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer helt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,"Ja, i mycket stor utsträckning",NA,30-45,Kvinna,Medarbetare,Vård/omsorg,647
50,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,"Nej, inte alls",NA,46-55,Man,Medarbetare,Annan verksamhet,218
